cov1,cov2,cov3,cov4,cov5,cov6,cov7,sal_pur_rat,igst_itc_tot_itc_rat,lib_igst_itc_rat,latent_cluster,distance_to_centroid
0.998908467,0.993117635,0.853987303,0.880931911,0.0,0.8219376,0.912059599,-0.030913618,0.588613479,-0.054118944,2,2.450122833251953
1.0,0.991130365,0.010645688,0.01487134,0.0,0.844023417,0.99995922,-0.032508615,2.173316021,-0.054363624,0,1.884658694267273
0.973533491,0.889182309,0.11466078,-0.088693152,0.511112252,0.99949284,0.225327869,-0.031200949,0.051894813,-0.054090418,0,1.9399404525756836
0.459678237,0.993078882,0.6443219,0.221562279,0.944413404,0.750197253,0.257200263,-0.029377605,0.13743556,-0.054355485,2,2.0461158752441406
0.999560777,0.574247325,0.389782616,0.073217302,-0.013804127,0.375478891,0.385341584,-0.032710629,-0.882105651,-0.052135133,1,2.4266650676727295
0.987637368,0.284655649,0.776731663,-0.163130408,0.0,0.510213095,0.546358461,-0.029487907,-0.493566036,-0.053053515,1,1.9430902004241943
0.931183051,0.999998937,0.595928854,0.590789692,0.839027058,0.399217448,0.866697721,-0.030784843,-0.253276193,-0.053777551,0,2.4107770919799805
0.998745792,0.212016737,-0.063190732,0.101605676,0.328125136,0.497049986,0.994447538,-0.032125513,1.445437212,-0.054300499,2,1.7351114749908447
0.999397152,0.878042699,0.657865771,0.631517153,0.0,0.281640044,0.860585818,-0.032075861,0.504179681,-0.054178495,0,2.2527618408203125
0.988201453,0.945245613,-0.035841231,0.107383904,0.0,0.803053919,0.832266473,-0.032914218,1.302920596,-0.054305317,0,1.9773452281951904
0.999720787,0.947687181,0.024628001,0.122664473,0.0,0.081782996,0.637427559,-0.032098879,0.518613992,-0.054181662,1,2.6446852684020996
0.913043969,0.993651695,0.495064107,0.595523543,0.661698078,0.707592406,0.993329791,-0.032279826,1.866162499,-0.054324734,1,2.017974853515625
0.997655314,0.995580885,0.279219683,0.279675468,0.0,0.810224325,0.967949535,-0.032041857,0.515549646,-0.054272751,0,1.871525526046753
0.929091116,0.789990444,0.831712555,0.51622091,0.0,0.598973574,0.842342824,-0.032722083,0.797620246,-0.054264028,2,2.0104851722717285
0.999997167,0.999998285,0.606253677,0.605950182,0.0,0.773038512,0.332828922,-0.028873216,0.115742017,-0.053748529,2,2.5895934104919434
0.999787863,0.631922704,0.462313392,0.331383242,-0.055448144,0.277220359,0.934221781,-0.031986442,0.85688698,-0.054233106,1,2.4169118404388428
0.999714846,0.996291606,0.882861288,0.886912114,0.0,-0.103605893,0.448893983,-0.032763451,0.007011184,-0.054101014,0,1.8603909015655518
1.0,0.999253355,0.828209342,0.820018863,0.0,0.193950217,1.0,-0.032182894,2.177948117,-0.05435186,2,2.126927137374878
1.0,1.0,-0.231188413,-0.231187816,0.0,0.971862804,0.485946222,-0.032750641,0.131196945,-0.054144581,1,2.037256956100464
0.999788776,0.993806772,0.42992421,0.461279206,0.0,0.670733497,0.834341022,-0.032413696,1.630889155,-0.054329952,0,1.789096713066101
0.997549085,0.996530934,-0.143601024,-0.167642033,0.0,0.201178978,0.479151583,-0.032983559,-0.744718754,-0.053259516,0,2.103748083114624
0.972156143,0.350224911,0.83252645,0.424488978,0.0,-0.105096895,0.203568305,-0.028964142,-0.841414809,-0.050513408,1,1.8864939212799072
0.997552634,0.570203309,0.760432922,0.169596285,0.0,0.573157587,0.982716153,-0.030838022,1.471359769,-0.054244157,1,2.2211925983428955
0.999978438,0.99572676,0.047379035,0.034514842,0.0,0.696225452,0.071174568,-0.032489797,-0.599944576,-0.053510694,1,1.8503670692443848
0.999075171,0.998664975,0.221311759,0.216898008,-0.709599332,0.906404925,0.960929314,-0.032578275,1.303368769,-0.054315512,1,1.7411776781082153
0.999974771,0.983792998,0.128616042,0.043345819,0.0,0.989849027,0.116941997,-0.032554381,-1.015480354,-0.045544904,1,1.9957619905471802
0.991288605,0.997914961,0.372624307,0.333478957,0.0,0.99947407,0.19461065,-0.032792973,-0.672732847,-0.053399106,0,2.022822856903076
0.999920145,0.999170767,0.0,0.0,0.0,0.312896209,0.78142191,-0.033279682,-0.802695618,-0.05310023,0,1.7954518795013428
0.965919136,0.843966124,-0.161757847,-0.347928872,0.0,0.394146395,0.596610301,-0.032156756,0.947573604,-0.054252535,1,1.7505377531051636
0.999996847,0.990337105,-0.175968495,-0.185637565,0.0,0.695654123,0.369659441,-0.032743558,-0.340630775,-0.053906748,1,3.247486114501953
0.936588726,0.999728771,0.535786433,0.457632652,0.0,0.225873338,-0.003915506,-0.033746857,-0.693045111,-0.053349597,0,1.8574944734573364
0.995573368,1.0,-0.499829868,-0.469568647,0.0,0.817348598,-0.859528505,-0.033682115,-1.061555661,0.033164914,2,1.8023408651351929
0.999982763,0.993452077,-0.174952576,-0.211511699,0.0,0.891015859,0.890464115,-0.032896623,-0.528158328,-0.05373176,0,2.3283166885375977
0.932849772,0.983397165,0.58137554,0.348594439,0.157124498,0.947153964,0.245223388,-0.033063147,-0.429006198,-0.053836856,1,2.3609564304351807
0.999999985,0.984780503,0.828753554,0.779329088,0.0,0.751970165,0.555487336,-0.032347102,-0.688770678,-0.053232204,2,2.1931304931640625
1.0,0.980415432,0.0,0.0,0.0,0.971351701,-0.171307337,-0.034068955,-1.055463808,-0.015437365,2,2.0969021320343018
0.99999445,0.999314733,0.445543891,0.460287813,0.0,0.89285344,0.375059177,-0.032939541,-0.915965182,-0.051772394,2,1.776887059211731
1.0,0.968133314,0.101609755,0.083473144,0.0,0.454590085,0.948856631,-0.031880583,1.115682089,-0.054260208,1,1.9681192636489868
0.993488876,0.980039407,-0.170995659,-0.087380727,0.0,0.490930233,0.994380639,-0.03297662,1.639122071,-0.054387227,0,2.3781697750091553
0.998856039,0.965760956,-0.301762133,-0.352452661,0.0,0.790386827,0.855408268,-0.032292325,0.650292394,-0.054216653,1,1.8421646356582642
0.999885089,0.906822681,0.564696897,0.472162469,0.0,0.471386853,0.993622495,-0.032628753,1.918903335,-0.054355393,0,1.819952130317688
0.988040452,0.744624864,-0.234420873,-0.319623046,0.0,0.561833909,0.300272751,-0.032965272,-1.014364098,-0.046526339,2,1.984985589981079
0.999999613,0.880760388,-0.078228108,-0.246187864,0.0,0.237442315,0.875194235,-0.032614416,-0.267069738,-0.053943877,2,2.0080833435058594
0.998000775,0.97982995,0.08762145,0.073575177,0.0,0.689567984,0.58167717,-0.032752332,0.492652662,-0.054227589,1,2.1810977458953857
0.760146679,0.773509943,-0.056535723,-0.20804231,0.0,0.718558566,0.732598638,-0.03198731,-0.002428181,-0.054118445,2,2.347588539123535
0.978818731,0.960722336,-0.487461808,-0.234690093,0.0,0.880308942,0.738224959,-0.033912177,0.462074532,-0.054247739,1,1.7922331094741821
0.999020327,0.294936331,0.327209386,-0.264788808,-0.274805928,0.528361175,0.822556595,-0.031376949,1.090668238,-0.05422867,0,2.337358236312866
1.0,0.998777599,0.0,0.0,0.0,0.751078771,0.577781845,-0.033121103,-1.021073397,-0.045934913,2,1.857670545578003
0.999998097,0.142684068,-0.128912669,-0.172316032,0.0,0.867287148,0.608979861,-0.032930004,-0.544185855,-0.05371742,2,2.3399765491485596
0.999285325,0.998506322,0.827403513,0.809624961,0.956734855,0.429413,0.370118176,-0.031753365,-0.844550018,-0.052204563,1,2.708101511001587
0.988828559,1.0,-0.467118981,-0.469599995,0.0,0.962706434,0.782141241,-0.0332598,-0.30712514,-0.053959191,2,2.6842269897460938
0.99921916,1.0,0.394185293,0.399868653,0.0,0.167768728,0.373097974,-0.032638448,-0.524348821,-0.053674674,1,1.9064912796020508
0.996287092,0.94370677,0.637785578,0.435098257,-0.598049766,0.853106478,0.445108048,-0.030675119,-0.441364264,-0.053432177,1,2.367736339569092
0.999980043,0.988389484,0.819801208,0.820857818,0.0,0.455510315,0.99995094,-0.032796602,2.138043837,-0.054371272,2,1.84697687625885
1.0,0.991598572,0.844219075,0.823940728,0.0,-0.081791564,-0.190562143,-0.028441304,-1.045474352,-0.009373507,2,1.8993399143218994
0.999994515,0.781022024,0.209050432,0.543804794,0.0,0.678039475,0.180299654,-0.032489246,-1.049201375,-0.027521978,0,1.8119564056396484
0.999999677,0.401612528,-0.17778887,-0.028208268,0.0,0.660797211,0.096591371,-0.034507833,-0.733445829,-0.053834372,1,1.9032237529754639
0.995936291,0.904763019,0.748084413,0.504243438,0.155381253,0.946633345,0.624651771,-0.031840104,-0.44055322,-0.053617738,0,2.3504269123077393
0.999525907,0.988830123,-0.093461257,-0.153034817,0.0,0.098319198,0.991023257,-0.033246387,2.030635889,-0.054384378,1,1.7909284830093384
0.999972805,0.875811879,-0.141530574,-0.203786308,0.0,-0.026399431,0.739077209,-0.034111765,-0.384739765,-0.054109511,2,1.942969560623169
